epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3958,1.87357,2.43839,1.5636,0.56952,0.5651,0.53833,0.2199,1.93515,1.84791,1.59989,0.000553164,0.000553164,0.000553164
2,127.688,1.72673,1.78561,1.46688,0.62443,0.48859,0.55227,0.23257,2.01657,1.76952,1.60961,0.00108688,0.00108688,0.00108688
3,191.705,1.72711,1.69358,1.47296,0.52071,0.59776,0.52547,0.17966,2.15903,1.86563,1.75806,0.00159858,0.00159858,0.00159858
4,254.326,1.68116,1.5831,1.45018,0.65431,0.54674,0.56644,0.24196,1.90063,1.52904,1.57832,0.00156798,0.00156798,0.00156798
5,317.608,1.66382,1.50097,1.43637,0.60384,0.58804,0.57866,0.2119,2.16155,1.51182,1.78479,0.00153497,0.00153497,0.00153497
6,379.849,1.64293,1.42839,1.42373,0.60519,0.59079,0.56438,0.19431,2.22954,1.44052,1.81094,0.00150197,0.00150197,0.00150197
7,440.777,1.61188,1.37626,1.40646,0.66712,0.54134,0.57126,0.22458,1.99411,1.54968,1.64931,0.00146896,0.00146896,0.00146896
8,503.623,1.5909,1.35177,1.39388,0.6847,0.62228,0.64808,0.24245,2.19984,1.32745,1.80228,0.00143595,0.00143595,0.00143595
9,566.059,1.57641,1.30007,1.39095,0.61634,0.51576,0.52654,0.16856,2.45189,1.47562,2.01552,0.00140295,0.00140295,0.00140295
10,627.9,1.55758,1.261,1.37975,0.75597,0.61141,0.65266,0.27641,1.99629,1.34849,1.59835,0.00136994,0.00136994,0.00136994
11,691.177,1.55181,1.23087,1.36387,0.72886,0.65163,0.67845,0.3069,1.86832,1.26738,1.56306,0.00133693,0.00133693,0.00133693
12,753.412,1.53495,1.21245,1.3602,0.69275,0.67175,0.66919,0.26122,2.12573,1.25225,1.73354,0.00130393,0.00130393,0.00130393
13,815.603,1.51509,1.18836,1.34963,0.73269,0.62065,0.6783,0.23896,2.26303,1.33847,1.85957,0.00127092,0.00127092,0.00127092
14,878.746,1.51257,1.16132,1.33936,0.6827,0.70458,0.6988,0.28489,2.054,1.29005,1.65791,0.00123791,0.00123791,0.00123791
15,939.845,1.50008,1.1503,1.3362,0.73816,0.66957,0.695,0.29338,2.03871,1.243,1.64695,0.00120491,0.00120491,0.00120491
16,1000.88,1.48413,1.11466,1.32522,0.74382,0.70342,0.72166,0.2933,2.00634,1.19551,1.63583,0.0011719,0.0011719,0.0011719
17,1064.08,1.47022,1.10153,1.31503,0.72821,0.73438,0.72566,0.33196,1.92358,1.18288,1.55788,0.00113889,0.00113889,0.00113889
18,1126.89,1.46242,1.09575,1.31474,0.70553,0.72164,0.72777,0.29297,2.0351,1.12938,1.66261,0.00110589,0.00110589,0.00110589
19,1190.47,1.45097,1.06273,1.31122,0.75995,0.71059,0.7742,0.35563,1.85787,1.07482,1.52124,0.00107288,0.00107288,0.00107288
20,1253.66,1.4439,1.04243,1.30136,0.69972,0.78043,0.76487,0.36385,1.86608,1.09085,1.54102,0.00103987,0.00103987,0.00103987
21,1315.95,1.43658,1.02777,1.29088,0.72621,0.68398,0.71266,0.32429,1.88197,1.22981,1.54677,0.00100687,0.00100687,0.00100687
22,1379.9,1.41962,1.01912,1.28432,0.7674,0.67144,0.72952,0.3253,1.94674,1.16978,1.59302,0.000973861,0.000973861,0.000973861
23,1442.02,1.42265,0.99934,1.2824,0.75666,0.67609,0.73322,0.29394,2.01758,1.19613,1.63885,0.000940855,0.000940855,0.000940855
24,1505.31,1.40066,0.98184,1.27247,0.7779,0.7212,0.72817,0.29152,2.1147,1.09399,1.70907,0.000907848,0.000907848,0.000907848
25,1567.18,1.40856,0.98079,1.26872,0.76084,0.69688,0.72458,0.30523,1.96607,1.14766,1.6115,0.000874842,0.000874842,0.000874842
26,1629.2,1.38341,0.95564,1.26372,0.77536,0.7038,0.76827,0.34294,1.9125,1.11975,1.57008,0.000841835,0.000841835,0.000841835
27,1692.58,1.3861,0.95572,1.25903,0.75294,0.76413,0.78467,0.32751,1.98386,1.00935,1.59225,0.000808828,0.000808828,0.000808828
28,1754.02,1.36879,0.93968,1.25608,0.80793,0.76978,0.82232,0.35908,1.91391,0.96659,1.56889,0.000775822,0.000775822,0.000775822
29,1816.76,1.36803,0.93284,1.24552,0.79428,0.75183,0.77742,0.33165,1.95475,1.06347,1.60002,0.000742815,0.000742815,0.000742815
30,1881.45,1.35347,0.91325,1.24217,0.82705,0.73166,0.78233,0.35369,1.90786,1.04999,1.59065,0.000709809,0.000709809,0.000709809
31,1944.1,1.34302,0.90307,1.23756,0.77699,0.7038,0.7494,0.30647,2.0891,1.11633,1.66303,0.000676802,0.000676802,0.000676802
32,2007.58,1.33214,0.90033,1.23484,0.79708,0.70755,0.77076,0.34063,1.88283,1.01741,1.54102,0.000643795,0.000643795,0.000643795
33,2070.75,1.3318,0.88811,1.23098,0.79485,0.65249,0.71686,0.2998,1.99777,1.19625,1.61669,0.000610789,0.000610789,0.000610789
34,2132.93,1.30851,0.86549,1.21738,0.77765,0.72228,0.76315,0.34724,1.90029,1.07954,1.54495,0.000577782,0.000577782,0.000577782
35,2196.31,1.31553,0.87896,1.22262,0.70043,0.75054,0.75128,0.27982,2.14868,1.09479,1.74297,0.000544776,0.000544776,0.000544776
36,2258.43,1.29229,0.84585,1.21074,0.8012,0.73261,0.8072,0.37415,1.82162,0.97411,1.48902,0.000511769,0.000511769,0.000511769
37,2321.13,1.2853,0.83912,1.20113,0.71258,0.79413,0.80252,0.39304,1.7406,1.01302,1.44936,0.000478762,0.000478762,0.000478762
38,2385.08,1.28363,0.83179,1.20136,0.79402,0.75589,0.80049,0.35733,1.90877,0.96218,1.54506,0.000445756,0.000445756,0.000445756
39,2447.16,1.28226,0.82637,1.20093,0.74418,0.8163,0.80455,0.36308,1.90178,0.98326,1.53987,0.000412749,0.000412749,0.000412749
40,2510.19,1.27098,0.81733,1.1937,0.78832,0.75367,0.80621,0.38722,1.78739,0.97911,1.48387,0.000379743,0.000379743,0.000379743
41,2573.04,1.25094,0.74338,1.20157,0.79108,0.76033,0.80356,0.35583,1.90446,0.98294,1.56364,0.000346736,0.000346736,0.000346736
42,2632.23,1.22999,0.72549,1.19588,0.83574,0.78424,0.83256,0.36524,1.87014,0.93433,1.54775,0.000313729,0.000313729,0.000313729
