epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,702.494,1.87189,2.42282,1.5697,0.50003,0.51334,0.46232,0.21132,1.71997,2.30139,1.46837,0.000553164,0.000553164,0.000553164
2,1722.75,1.74079,1.8283,1.47916,0.56905,0.52337,0.4706,0.16204,2.16769,1.90802,1.81671,0.00108688,0.00108688,0.00108688
3,2405.79,1.72448,1.71469,1.4739,0.52237,0.5125,0.48976,0.2081,1.96738,1.88404,1.60722,0.00159858,0.00159858,0.00159858
4,3079.38,1.69279,1.61442,1.46661,0.58096,0.56957,0.54653,0.21214,1.99953,1.7606,1.66164,0.00156798,0.00156798,0.00156798
5,3989.27,1.663,1.51553,1.44661,0.59416,0.58315,0.58086,0.22958,2.06149,1.59418,1.67772,0.00153497,0.00153497,0.00153497
6,5099.73,1.63091,1.44806,1.42918,0.67246,0.64803,0.63765,0.23946,2.15587,1.41908,1.76014,0.00150197,0.00150197,0.00150197
7,5833.84,1.62097,1.41006,1.41414,0.60642,0.5413,0.55883,0.24317,1.96717,1.6454,1.6043,0.00146896,0.00146896,0.00146896
8,6725.71,1.5948,1.36292,1.40005,0.72784,0.60163,0.68495,0.28354,1.94059,1.35828,1.64751,0.00143595,0.00143595,0.00143595
9,7618.15,1.57268,1.30547,1.38947,0.76082,0.58859,0.66343,0.24643,2.21213,1.33607,1.79434,0.00140295,0.00140295,0.00140295
10,8509.11,1.55988,1.28306,1.38393,0.67771,0.64837,0.66733,0.26134,2.08108,1.37179,1.70508,0.00136994,0.00136994,0.00136994
11,9246.56,1.54946,1.25343,1.38051,0.71069,0.68415,0.70833,0.30402,1.94501,1.24621,1.59797,0.00133693,0.00133693,0.00133693
